0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,13,14,15,16,17,18,19,20,21,22,23,24,25,19,20,21,22,23,24,21,20,19,18,17,16,15,14,13,12,11,10,9,10,11,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,13,12,11,10,9,8,7,6,6,7,8,10,11,12
1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,12,13,14,15,16,17,18,19,20,21,22,23,24,18,19,20,21,22,23,20,19,18,17,16,15,14,13,12,11,10,9,8,9,10,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,12,11,10,9,8,7,6,5,5,6,7,9,10,11
2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,11,12,13,14,15,16,17,18,19,20,21,22,23,17,18,19,20,21,22,19,18,17,16,15,14,13,12,11,10,9,8,7,8,9,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,11,10,9,8,7,6,5,4,4,5,6,8,9,10
3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,10,11,12,13,14,15,16,17,18,19,20,21,22,16,17,18,19,20,21,18,17,16,15,14,13,12,11,10,9,8,7,6,7,8,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,10,9,8,7,6,5,4,3,3,4,5,7,8,9
4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,9,10,11,12,13,14,15,16,17,18,19,20,21,15,16,17,18,19,20,17,16,15,14,13,12,11,10,9,8,7,6,5,6,7,8,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,9,8,7,6,5,4,3,2,2,3,4,6,7,8
5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,8,9,10,11,12,13,14,15,16,17,18,19,20,14,15,16,17,18,19,16,15,14,13,12,11,10,9,8,7,6,5,4,5,6,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,8,7,6,5,4,3,2,1,1,2,3,5,6,7
6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,15,16,17,18,19,20,17,16,15,14,13,12,11,10,9,8,7,6,5,6,7,6,5,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,9,8,7,6,5,4,3,2,2,3,4,6,7,8
7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,14,15,16,17,18,19,18,17,16,15,14,13,12,11,10,9,8,7,6,7,6,5,4,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,10,9,8,7,6,5,4,3,3,4,5,7,8,9
8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,13,14,15,16,17,18,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,11,10,9,8,7,6,5,4,4,5,6,8,9,8
9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,12,11,10,9,8,7,6,5,5,6,7,7,8,7
10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,11,12,13,14,15,16,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,13,12,11,10,9,8,7,6,6,7,6,6,7,6
11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,10,11,12,13,14,15,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,14,13,12,11,10,9,8,7,7,8,7,7,6,5
12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,9,10,11,12,13,14,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,15,14,13,12,11,10,9,8,8,9,8,6,5,4
13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,8,9,10,11,12,13,18,17,16,15,14,13,12,11,10,9,8,7,6,7,6,5,4,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,16,15,14,13,12,11,10,9,9,8,7,5,4,3
14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,7,8,9,10,11,12,17,16,15,14,13,12,11,10,9,8,7,6,5,6,7,6,5,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,17,16,15,14,13,12,11,10,8,7,6,4,3,2
13,12,11,10,9,8,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,12,6,7,8,9,10,11,16,15,14,13,12,11,10,9,8,7,6,5,4,5,6,7,6,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,16,15,14,13,12,11,10,9,7,6,5,3,2,1
14,13,12,11,10,9,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,11,5,6,7,8,9,10,17,16,15,14,13,12,11,10,9,8,7,6,5,6,7,8,7,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,17,16,15,14,13,12,11,10,8,7,6,4,3,2
15,14,13,12,11,10,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,10,4,5,6,7,8,9,18,17,16,15,14,13,12,11,10,9,8,7,6,7,8,9,8,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,18,17,16,15,14,13,12,11,9,8,7,5,4,3
16,15,14,13,12,11,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,9,3,4,5,6,7,8,19,18,17,16,15,14,13,12,11,10,9,8,7,8,9,10,9,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,19,18,17,16,15,14,13,12,10,9,8,6,5,4
17,16,15,14,13,12,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,8,2,3,4,5,6,7,20,19,18,17,16,15,14,13,12,11,10,9,8,9,10,11,10,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,20,19,18,17,16,15,14,13,11,10,9,7,6,5
18,17,16,15,14,13,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,7,1,2,3,4,5,6,21,20,19,18,17,16,15,14,13,12,11,10,9,10,11,12,11,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,21,20,19,18,17,16,15,14,12,11,10,8,7,6
19,18,17,16,15,14,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,6,2,3,4,5,6,7,22,21,20,19,18,17,16,15,14,13,12,11,10,11,12,13,12,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,22,21,20,19,18,17,16,15,13,12,11,9,8,7
20,19,18,17,16,15,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,1,2,3,4,5,3,4,5,6,7,8,23,22,21,20,19,18,17,16,15,14,13,12,11,12,13,14,13,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,23,22,21,20,19,18,17,16,14,13,12,10,9,8
